127.0.0.1 - - [06/Jun/2025:10:16:32 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:16:33 +0530] "GET /db_connection/index.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:20:19 +0530] "GET /db_connection/demo.jsp HTTP/1.1" 500 3938
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:24:34 +0530] "GET /db_connection/index.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:24:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:01 +0530] "GET /demo.jsp?id=1023&name=satya&email=satya%40gmail.com HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:19 +0530] "GET /db_connection/index.html HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:19 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:20 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:20 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:20 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:20 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:20 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:25:35 +0530] "GET /db_connection/demo.jsp?id=852&name=John&email=Doe%40gmail.com HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:46 +0530] "GET /db_connection/index.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:50 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:50 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:50 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:50 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:51 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:30:51 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:12 +0530] "GET /db_connection/demo.jsp?id=1234&name=John&email=jhon%40gmail.com HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:58 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:59 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:59 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:59 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:59 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:31:59 +0530] "GET /db_connection/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:32:05 +0530] "GET /db_connection/demo.jsp?id=123&name=John&email=Doe%40gmail.com HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:41:51 +0530] "GET /db_connection/demo.jsp?id=123&name=John&email=Doe%40gmail.com HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:41:53 +0530] "GET /db_connection/demo.jsp?id=123&name=John&email=Doe%40gmail.com HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [06/Jun/2025:10:45:45 +0530] "GET /db_connection/demo.jsp HTTP/1.1" 200 278
